FID,Column,Row,Cell,Easting,Northing,Nat_Area,Purpose,Completed,DATE,ASSESSOR,NW_HERB,NE_HERB,SE_HERB,SW_HERB,HERB_TOTAL,HERB_POINT,NW_SEEDL,NE_SEEDL,SW_SEEDL,SE_SEEDL,SEEDL_TOTA,SEEDL_POIN,NW_SS_IND,NE_SS_IND,SE_SS_IND,SW_SS_IND,SS_IND_TOT,SS_IND_POI,NW_SS_SPC,NE_SS_SPC,SW_SS_SPC,SE_SS_SPC,SS_SPC_TOT,SS_SPC_POI,NW_M_TREE_,NE_M_TREE_,SW_M_TREE_,SE_M_TREE_,M_TREE_IND,M_TREE_I_1,M_TREE_SPC,M_TREE_S_1,M_TREE_S_2,NW_L_TREE_,NE_L_TREE_,SE_L_TREE_,SW_L_TREE_,L_TREE_IND,L_TREE_I_1,L_TREE_SPC,L_TREE_S_1,L_TREE_S_2,NW_SNAGS,NE_SNAGS,SE_SNAGS,SW_SNAGS,SNAGS_TOTA,SNAGS_POIN,NW_W_DEBRI,NE_W_DEBRI,SE_W_DEBRI,SW_W_DEBRI,W_DEBRIS_T,W_DEBRIS_P,NW_INV_SV,NE_INV_SV,SE_INV_SV,SW_INV_SV,INV_SV_TOT,INV_SV_POI,NW_INV_HER,NE_INV_HER,SE_INV_HER,SW_INV_HER,INV_HERB_T,INV_HERB_P,OBS_INV_PL,H_LIGHT_GA,PIT_MOUND,ABS_HUMAN_,ABS_DEER_B,NW_LEAF_FR,NE_LEAF_FR,C_LEAF_FRG,SW_LEAF_FR,SE_LEAF_FR,LEAF_FRG_T,LEAF_FRG_P,TOTAL,QUALITY_RA,AMBE,BLD,BLD_SEVER,AMBE_ABUN,ASH,EAB,EAB_SEVER,ASH_ABUN,EAHE,HWA,HWA_SEVER,EAHE_ABUN,F_HEALTH,F_AGE,F_CONDITIO,PRE_TREAT,LABEL,MANAG_OBJ,R_PRE_TREA,BOUND_MARK
27,22-E,46-N,22-E46-N,2296078.52,717751.8072,Baldwin Natural Area,Holden/WCS,1,2018-06-21,MW MW SB SB,10,6,8,10,34,1,5,4,3,4,16,1,21,2,7,25,55,0,3,2,2,5,12,0,10,11,9,8,38,1,EAHE SUMA AMBE,3,1,4,4,0,2,10,1,AMBE SUMA,2,1,1,2,1,3,7,1,4,3,1,2,10,0,0,1,0,8,9,1,2,0,0,0,2,1,0,1,1,1,1,0,1,1,1,1,4,1,14,Medium High,1,1,Moderate,High,0,0,None,None,1,0,None,Low,8,6,Old and Healthy,+Woody Debris,Structural Improvement,+Woody Debris,Control,
28,23-E,46-N,23-E46-N,2296406.52,717751.8072,Baldwin Natural Area,Holden/WCS,1,2018-06-21,MW MW SB SB,6,9,10,10,35,1,4,7,5,5,21,1,5,12,12,9,38,0,2,4,4,1,11,0,10,8,8,6,32,1,EAHE TUPO SUMA BIHI BLCH AMBE,6,1,2,0,0,2,4,0,TUPO SUMA BLCH AMBE,4,1,3,4,1,3,11,1,2,1,1,1,5,0,3,130,25,1,159,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,8,Medium Low,1,1,Low,Medium,1,1,Severe,Low,1,0,None,Medium,4,4,Old and Unhealthy,"TSI, +Shrub Sp., +Woody Debris",TSI,"-Invasive S/V, +Shrub Sp., +Woody Debris",Control,
29,24-E,46-N,24-E46-N,2296734.52,717751.8072,Baldwin Natural Area,Holden/WCS,1,2018-06-21,MW MW SB SB,4,6,7,10,27,1,4,3,4,5,16,1,10,9,7,15,41,0,5,3,3,3,14,0,6,4,5,4,19,0,BLCH SUMA TUPO,3,1,0,0,0,1,1,0,TUPO,1,0,2,0,1,1,4,0,1,0,0,3,4,0,97,88,90,70,345,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,6,Medium Low,1,1,Moderate,Low,1,1,Severe,Low,0,0,None,None,5,1,Young and Unhealthy,Improvement Cut w/TSI,Improvement Cut w/TSI,"+Mature Trees, -Invasive S/V",Control,
30,25-E,46-N,25-E46-N,2297062.52,717751.8072,Baldwin Natural Area,Holden/WCS,1,2018-06-26,CK AM SB ALL,4,3,9,5,21,1,2,5,4,2,13,0,7,19,15,15,56,0,2,3,2,3,10,0,5,4,0,2,11,0,REOA BLWA BIHI TUPO BLCH,5,1,0,0,0,0,0,0, ,0,0,1,3,0,1,5,1,1,2,0,1,4,0,121,37,110,215,483,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,6,Medium Low,1,1,Moderate,Low,1,1,Severe,Low,0,0,None,None,4,2,Young and Unhealthy,Investigate,Investigate,Determine best action,TSI,Yes
31,26-E,46-N,26-E46-N,2297390.52,717751.8072,Baldwin Natural Area,Holden/WCS,1,2018-06-26,CK AM SB ALL,3,3,6,4,16,0,3,5,4,2,14,0,9,15,22,21,67,0,2,2,4,3,11,0,2,1,1,1,5,0,TUPO REMA COTT,3,1,0,0,0,0,0,0, ,0,0,0,2,0,0,2,0,0,0,2,1,3,0,112,192,150,195,649,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,4,Low,1,1,Moderate,Low,1,1,Severe,Medium,0,0,None,None,3,1,Young and Unhealthy,Investigate,Investigate,Determine best action,TSI,Yes
32,27-E,46-N,27-E46-N,2297718.52,717751.8072,Baldwin Natural Area,Holden/WCS,1,2018-06-26,CK AM SB ALL,4,3,6,6,19,0,6,6,3,5,20,1,32,52,31,44,159,1,4,5,5,6,20,1,6,7,4,8,25,1,WHOA SYCA REMA REOA TUPO,5,1,1,0,0,2,3,0,REOA SYCA,2,1,2,1,2,0,5,1,2,0,1,1,4,0,67,33,32,90,222,0,0,0,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,9,Medium Low,1,1,Moderate,Medium,1,1,Severe,Low,0,0,None,None,5,4,Old and Unhealthy,TSI,TSI,-Invasive S/V,Improvement Cut w/TSI,Yes
33,28-E,46-N,28-E46-N,2298046.52,717751.8072,Baldwin Natural Area,Holden/WCS,1,2018-07-12,MW SB AM ALL,5,6,6,5,22,1,6,5,6,5,22,1,28,26,15,31,100,0,6,5,3,2,16,1,7,7,7,9,30,1,SYCA AMEL REMA SUMA TUPE TUPO REOA,7,1,0,0,0,0,0,0, ,0,0,2,1,4,2,9,1,3,3,2,3,11,0,67,55,58,39,219,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,9,Medium Low,1,1,Moderate,Low,1,1,Severe,Low,0,0,None,None,5,4,Old and Unhealthy,"+Ind Shrub, +Woody Debris",Structural Improvement,"+Ind Shrub, +Woody Debris",Improvement Cut w/TSI,Yes
34,29-E,46-N,29-E46-N,2298374.52,717751.8072,Baldwin Natural Area,Holden/WCS,1,2018-07-12,MW SB AM ALL,8,6,5,6,25,1,5,5,4,6,20,1,13,34,22,42,111,0,4,4,2,5,15,0,5,4,8,9,26,1,SYCA SHHI WHOA TUPO REOA REMA,6,1,0,0,0,2,2,0,REOA,1,0,1,3,1,2,7,1,0,0,0,2,2,0,38,33,0,31,102,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,8,Medium Low,1,1,Moderate,Low,1,1,Severe,Low,0,0,None,None,5,3,Young and Unhealthy,TSI,TSI,-Invasive S/V,TSI,Yes
35,30-E,46-N,30-E46-N,2298702.52,717751.8072,Baldwin Natural Area,Holden/WCS,1,2018-07-12,MW SB AM ALL,5,4,10,6,25,1,4,6,7,7,24,1,8,30,28,29,95,0,3,4,4,2,13,0,5,6,7,7,25,1,REOA TUPO BLCH SUMA BIHI AMBE REMA,7,1,0,0,0,1,1,0,REMA,1,0,2,0,1,0,3,0,2,2,1,4,9,0,21,2,2,8,33,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,4,1,10,Medium,1,1,Moderate,High,1,1,Severe,Low,0,0,None,None,7,3,Young and Healthy,TSI,TSI,-Invasive S/V,TSI,Yes
36,31-E,46-N,31-E46-N,2299030.52,717751.8072,Baldwin Natural Area,Holden/WCS,1,2018-07-12,MW SB AM ALL,7,12,10,7,36,1,5,7,5,7,24,1,23,30,28,56,137,1,3,5,3,7,18,1,7,3,5,7,22,0,SHHI REMA BLCH AMBE SUMA REOA TUPO,7,1,1,0,0,1,2,0,TUPO REOA,2,1,2,1,1,3,7,1,2,2,2,2,8,0,25,50,10,23,108,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,4,1,11,Medium,1,1,Moderate,High,1,1,Severe,Low,0,0,None,None,7,4,Old and Healthy,"Improvement Cut w/TSI, +Woody Debris",Improvement Cut w/TSI,"+Mature Trees, -Invasive S/V, +Woody Debris",Improvement Cut,Yes
37,24-E,47-N,24-E47-N,2296734.52,718079.8072,Baldwin Natural Area,Holden/WCS,1,2018-06-21,MW MW SB SB,2,4,6,4,16,0,4,2,5,2,13,0,5,19,16,8,48,0,3,4,4,5,16,1,4,5,2,0,11,0,SYCA TUPO REOA BIHI,4,1,0,0,0,0,0,0, ,0,0,3,0,1,4,8,1,1,1,0,3,5,0,151,200,350,250,951,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,Medium Low,1,1,Moderate,Low,1,1,Severe,Low,0,0,None,None,3,2,Young and Unhealthy,Investigate,Investigate,Determine best action,Control,
38,25-E,47-N,25-E47-N,2297062.52,718079.8072,Baldwin Natural Area,Holden/WCS,1,2018-06-21,MW MW SB SB,7,9,5,1,22,1,4,4,4,3,15,0,15,23,25,10,73,0,5,4,4,3,16,1,5,9,4,4,22,0,AMEL REOA SUMA SYCA REMA TUPO AMBE,7,1,0,0,0,0,0,0, ,0,0,2,0,1,0,3,0,3,3,0,2,8,0,40,130,250,150,570,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,5,Medium Low,1,1,Moderate,Medium,1,1,Severe,Low,0,0,None,None,4,1,Young and Unhealthy,Improvement Cut w/TSI,Improvement Cut w/TSI,"+Mature Trees, -Invasive S/V",Control,
39,26-E,47-N,26-E47-N,2297390.52,718079.8072,Baldwin Natural Area,Holden/WCS,1,2018-06-26,CK AM SB ALL,8,9,7,11,35,1,4,5,5,5,19,1,31,31,15,28,105,0,4,5,5,6,20,1,4,3,3,3,13,0,COTT REOA AMBE BLCH SUMA TUPO,6,1,0,0,0,0,0,0, ,0,0,2,1,0,0,3,0,1,0,0,0,1,0,93,189,200,200,682,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,Medium Low,1,1,Moderate,Low,1,1,Severe,Low,0,0,None,None,5,1,Young and Unhealthy,Investigate,Investigate,Determine best action,Control,
40,27-E,47-N,27-E47-N,2297718.52,718079.8072,Baldwin Natural Area,Holden/WCS,1,2018-06-26,CK AM SB ALL,2,8,9,1,20,1,8,8,6,8,30,1,33,31,52,29,145,1,6,6,6,5,23,1,11,9,8,9,37,1,REOA TUPO REMA AMBE,4,1,0,0,0,0,0,0, ,0,0,0,0,0,1,1,0,0,2,0,0,2,0,69,38,55,16,178,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,10,Medium,1,1,Severe,Medium,1,1,Severe,Low,0,0,None,None,8,2,Young and Healthy,"TSI, +Woody Debris, +Snags",TSI,"-Invasive S/V, +Woody Debris, +Snags",TSI,Yes
41,28-E,47-N,28-E47-N,2298046.52,718079.8072,Baldwin Natural Area,Holden/WCS,1,2018-06-29,CK SB AM ALL,6,10,7,6,29,1,6,5,6,6,23,1,39,19,30,39,127,1,4,5,5,7,21,1,8,6,5,5,24,1,TUPO SUMA SYCA REMA,4,1,0,0,0,0,0,0, ,0,0,2,0,1,1,4,0,1,0,1,1,3,0,78,80,200,180,538,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,8,Medium Low,1,1,Moderate,Low,1,1,Severe,Low,0,0,None,None,6,2,Young and Healthy,"TSI, +Snags",TSI,"-Invasive S/V, +Snags",TSI,Yes
42,29-E,47-N,29-E47-N,2298374.52,718079.8072,Baldwin Natural Area,Holden/WCS,1,2018-06-29,CK SB AM ALL,6,5,5,5,21,1,5,4,7,5,21,1,36,10,22,24,92,0,6,5,4,6,21,1,5,5,6,6,22,0,SHHI TUPO REOA REMA BIHI,5,1,0,0,0,0,0,0, ,0,0,0,1,3,2,6,1,0,1,4,1,6,0,91,40,120,120,371,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,7,Medium Low,1,1,Moderate,Low,1,1,Severe,Low,0,0,None,None,5,2,Young and Unhealthy,Improvement Cut w/TSI,Improvement Cut w/TSI,"+Mature Trees, -Invasive S/V",TSI,Yes
43,30-E,47-N,30-E47-N,2298702.52,718079.8072,Baldwin Natural Area,Holden/WCS,1,2018-07-12,MW SB AM ALL,5,7,10,7,29,1,4,4,5,4,17,1,14,31,26,29,100,0,4,4,4,4,16,1,7,6,13,6,32,1,WHOA AMBE BIHI SHHI REOA TUPO SUMA REMA,8,1,0,2,0,1,3,0,TUPO BIHI SHHI,3,1,1,2,1,2,6,1,1,2,2,0,5,0,83,44,0,13,140,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,11,Medium,1,1,Moderate,Medium,1,1,Severe,Low,0,0,None,None,6,5,Old and Healthy,"TSI, +Ind Shrubs, +Woody Debris",TSI,"-Invasive S/S, +Shrub Ind, +Woody Debris",TSI,Yes
44,31-E,47-N,31-E47-N,2299030.52,718079.8072,Baldwin Natural Area,Holden/WCS,1,2018-07-12,MW SB AM ALL,4,7,6,6,23,1,6,8,2,5,21,1,11,22,20,17,70,0,3,4,2,3,12,0,5,6,5,11,27,1,SHHI WHOA TUPO AMBE REOA SUMA BLCH,7,1,0,0,0,2,2,0,WHOA REOA,2,1,2,2,2,2,8,1,2,1,1,1,5,0,27,0,0,0,27,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,3,0,10,Medium,1,1,Moderate,Medium,1,1,Severe,Low,0,0,None,None,5,5,Old and Unhealthy,"TSI, +Shrub Species",TSI,"-invasive S/V, +Shrub Species",Improvement Cut,Yes
45,26-E,48-N,26-E48-N,2297390.52,718407.8072,Baldwin Natural Area,Holden/WCS,1,2018-06-28,SB SB AM AM,10,7,10,10,37,1,3,3,4,7,17,1,18,9,3,14,44,0,2,4,3,4,13,0,5,5,4,5,19,0,TUPO SYCA SUMA REEL AMBE,5,1,0,1,0,0,1,0,SYCA,1,0,0,2,0,0,2,0,2,3,0,0,5,0,20,32,50,50,152,0,50,8,0,5,63,1,0,0,1,0,0,0,0,0,0,0,0,0,5,Medium Low,1,1,Moderate,Low,0,0,None,None,0,0,None,None,3,2,Young and Unhealthy,Improvement Cut w/TSI,Improvement Cut w/TSI,"+Mature Trees, -Invasive S/V",Control,
46,27-E,48-N,27-E48-N,2297718.52,718407.8072,Baldwin Natural Area,Holden/WCS,1,2018-06-28,SB SB AM AM,9,11,13,15,48,1,4,4,9,7,24,1,21,26,15,28,90,0,4,5,4,5,18,1,8,5,5,8,26,1,WHOA TUPO SYCA SUMA BLCH AMBE,6,1,0,0,0,0,0,0, ,0,0,4,3,1,1,9,1,3,2,1,2,8,0,16,50,80,60,206,0,4,1,25,5,35,1,0,1,1,1,1,0,0,0,0,0,0,0,11,Medium,1,1,Moderate,Medium,0,0,None,None,0,0,None,None,7,4,Old and Healthy,"TSI, +Ind Shrubs, +Woody Debris",TSI,"-Invasive S/V, +Ind Shrubs, +Woody Debris",TSI,Yes
47,28-E,48-N,28-E48-N,2298046.52,718407.8072,Baldwin Natural Area,Holden/WCS,1,2018-06-28,AM AM SB SB,10,10,12,7,39,1,4,3,4,5,16,1,38,60,42,47,187,1,5,4,4,3,16,1,3,4,5,3,15,0,SYCA TUPO REMA SUMA,4,1,0,0,0,0,0,0, ,0,0,0,4,2,0,6,1,1,1,0,1,3,0,150,200,50,43,443,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,Medium Low,1,1,Moderate,Low,1,1,Severe,Low,0,0,None,None,5,2,Young and Unhealthy,Investigate,Investigate,Determine best action,TSI,Yes
48,29-E,48-N,29-E48-N,2298374.52,718407.8072,Baldwin Natural Area,Holden/WCS,1,2018-06-28,SB SB AM AM,6,7,11,5,29,1,7,4,7,8,26,1,20,40,13,10,83,0,5,7,4,2,18,1,3,4,4,6,17,0,TUPO SYCA REOA REMA BIAS AMBE,6,1,0,0,0,0,0,0, ,0,0,0,1,2,1,4,0,0,0,1,1,2,0,42,37,12,50,141,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,7,Medium Low,1,1,Moderate,High,0,0,None,None,0,0,None,None,5,2,Young and Unhealthy,Improvement Cut w/TSI,Improvement Cut w/TSI,"+Mature Trees, -Invasive S/V",Improvement Cut,Yes
49,30-E,48-N,30-E48-N,2298702.52,718407.8072,Baldwin Natural Area,Holden/WCS,1,2018-06-29,SB SB AM AM,9,8,9,10,36,1,5,5,7,7,24,1,38,21,45,35,139,1,4,6,5,5,20,1,5,2,10,9,26,1,TUPO SHHI SYCA SUMA REMA BLCH AMBE,7,1,1,0,0,1,2,0,SYCA AMBE,2,1,5,3,1,0,9,1,0,3,1,2,6,0,26,37,15,2,80,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,2,0,12,Medium,1,1,Moderate,Medium,1,1,Severe,Medium,0,0,None,None,7,5,Old and Healthy,"TSI, +Woody Debris",TSI,"-invasive S/V, +Woody Debris",Improvement Cut,Yes
50,31-E,48-N,31-E48-N,2299030.52,718407.8072,Baldwin Natural Area,Holden/WCS,1,2018-06-29,CK SB AM ALL,8,6,9,7,30,1,2,5,8,7,22,1,6,9,20,38,73,0,1,2,3,6,12,0,4,10,6,5,25,1,TUPO SUMA SHHI REOA BIHI AMBE,6,1,0,0,1,0,1,0,REOA,1,0,0,1,2,0,3,0,0,1,2,1,4,0,8,0,7,0,15,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,9,Medium Low,1,1,Moderate,Medium,1,1,Severe,Low,0,0,None,None,6,3,Young and Healthy,"TSI, +Snags, +Woody Debris",Structural Improvement,"-Invasive S/V, +Snags, +Woody Debris",Control, 
51,26-E,49-N,26-E49-N,2297390.52,718735.8072,Baldwin Natural Area,Holden/WCS,1,2018-06-29,SB SB AM AM,6,3,5,4,18,0,3,3,4,4,14,0,4,1,2,2,9,0,1,1,1,1,4,0,7,5,7,1,20,0,REOA SUMA BLCH TUPO,4,1,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,Low,0,0,None,None,0,0,None,None,0,0,None,None,2,1,Young and Unhealthy,Investigate,Investigate,Determine best action,Control,
52,29-E,49-N,29-E49-N,2298374.52,718735.8072,Baldwin Natural Area,Holden/WCS,1,2018-06-28,SB SB AM AM,5,6,11,10,32,1,6,5,9,7,27,1,18,29,95,68,210,1,5,4,6,7,22,1,6,4,2,4,16,0,TUPO PIOA REMA,3,1,0,0,0,0,0,0, ,0,0,0,0,3,1,4,0,0,0,0,0,0,0,7,35,15,35,92,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,8,Medium Low,1,1,Moderate,Medium,1,1,Severe,Low,0,0,None,None,6,2,Young and Healthy,Improvement Cut w/TSI,Improvement Cut w/TSI,"+Mature Trees, -Invasive S/V",Improvement Cut,Yes
53,30-E,49-N,30-E49-N,2298702.52,718735.8072,Baldwin Natural Area,Holden/WCS,1,2018-06-29,CK SB AM ALL,5,6,8,2,21,1,7,5,6,5,23,1,12,16,26,15,69,0,3,4,3,2,12,0,10,5,5,14,34,1,TUPO TUPE SUMA REOA REMA PIOA BIHI AMBE,8,1,0,0,0,2,2,0,REOA AMBE,2,1,0,1,2,3,6,1,1,0,2,2,5,0,62,0,6,0,68,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,4,1,13,Medium,1,1,Moderate,Medium,1,1,Severe,Low,0,0,None,None,8,5,Old and Healthy,"TSI, +Shrub Sp, +Woody Debris",TSI,"-Invasive S/V, +Shrub Sp, +Woody Debris",Improvement Cut,Yes
54,31-E,49-N,31-E49-N,2299030.52,718735.8072,Baldwin Natural Area,Holden/WCS,1,2018-06-29,CK SB AM ALL,7,8,7,6,28,1,6,5,5,4,20,1,7,38,4,48,97,0,1,5,1,2,9,0,8,6,11,8,33,1,SUMA TUPO REOA BLCH AMBE,5,1,1,0,0,0,1,0,TUPO,1,0,2,0,2,2,6,1,1,2,3,1,7,0,10,8,0,0,18,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,2,0,10,Medium Low,1,1,Severe,Medium,0,0,None,None,0,0,None,None,6,4,Old and Healthy,"TSI, +Ind Shrubs, Shrub Sp, +Woody Debris",TSI,"-Invasive S/V, +Ind Shrubs, Shrub Sp, +Woody Debris",Control, 
55,20-E,46-N,20-E46-N,2295422.52,717751.8072,Baldwin Natural Area,Holden/WCS,1,2018-06-25,AM AM SB SB,13,14,12,11,50,1,7,5,5,3,20,1,0,86,14,22,122,1,0,5,5,4,14,0,3,3,6,7,19,0,BLCH YEBI BLWA AMBE SUMA TUPO,6,1,1,0,1,3,5,0,SUMA TUPO,2,1,1,5,0,0,6,1,2,0,0,3,5,0,12,5,1,0,18,1,2,1,1,0,4,1,0,0,0,0,0,1,0,1,0,0,2,0,8,Medium Low,1,1,Moderate,Medium,1,1,Severe,Low,1,0,None,Low,5,3,Young and Unhealthy,Improvement Cut w/TSI,Improvement Cut w/TSI,"+Mature Trees, -Invasive S/V",Control,
56,31-E,44-N,31-E44-N,2299030.52,717095.8072,Baldwin Natural Area,Holden/WCS,1,2018-07-30,CK CK SB SB,7,6,5,5,23,1,6,10,7,8,31,1,67,63,27,46,203,1,6,4,4,8,22,1,0,2,7,5,14,0,TUPO REOA SUMA AMBE,4,1,0,0,0,0,0,0, ,0,0,0,2,1,5,8,1,1,2,0,0,3,0,22,7,25,12,66,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,12,Medium,1,1,Moderate,High,0,0,None,None,0,0,None,None,9,3,Young and Healthy,Improvement Cut w/TSI,Improvement Cut w/TSI,"+Mature Trees, -Invasive S/V",Improvement Cut,Yes
